"filename", "language", "SQL", "Python", "Properties", "Batch", "PowerShell", "C++", "XML", "JavaScript", "Markdown", "CSS", "C", "HTML", "Ini", "comment", "blank", "total"
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\util\langhelpers.py", "Python", 0, 1211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 392, 339, 1942
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\util\queue.py", "Python", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 50, 292
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\util\topological.py", "Python", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 23, 101
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\__init__.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\_internal.py", "Python", 0, 401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 133, 627
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\_reloader.py", "Python", 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 92, 431
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\datastructures.py", "Python", 0, 1593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 996, 471, 3060
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\datastructures.pyi", "Python", 0, 864, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 913
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\debug\__init__.py", "Python", 0, 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 66, 503
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\debug\console.py", "Python", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47, 212
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\debug\repr.py", "Python", 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 37, 285
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\debug\shared\ICON_LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\debug\shared\debugger.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 17, 39, 360
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\debug\shared\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 1, 21, 164
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\debug\tbtools.py", "Python", 0, 390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 76, 601
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\exceptions.py", "Python", 0, 423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 356, 165, 944
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\filesystem.py", "Python", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 56
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\formparser.py", "Python", 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 74, 496
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\http.py", "Python", 0, 733, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 495, 161, 1389
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\local.py", "Python", 0, 374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 206, 98, 678
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\middleware\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 1, 23
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\middleware\dispatcher.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 9, 79
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\middleware\http_proxy.py", "Python", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 35, 231
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\middleware\lint.py", "Python", 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 71, 421
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\middleware\profiler.py", "Python", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 14, 140
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\middleware\proxy_fix.py", "Python", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 14, 188
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\werkzeug\middleware\shared_data.py", "Python", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 56, 321
