Date : 2022-03-09 21:12:27
Directory : c:\Users\Tony\Desktop\interimproject
Total : 967 files,  244654 codes, 121715 comments, 55333 blanks, all 421702 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\flask_login\config.py                                              | Python     |         26 |         19 |         17 |         62 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\flask_login\login_manager.py                                       | Python     |        340 |         34 |         94 |        468 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\flask_login\mixins.py                                              | Python     |         57 |          3 |         17 |         77 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\flask_login\signals.py                                             | Python     |         18 |         23 |         16 |         57 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\flask_login\test_client.py                                         | Python     |         10 |          4 |          6 |         20 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\flask_login\utils.py                                               | Python     |        295 |          6 |         89 |        390 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\flask_sqlalchemy\__init__.py                                       | Python     |        612 |        346 |        175 |      1,133 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\flask_sqlalchemy\_compat.py                                        | Python     |         28 |          0 |         17 |         45 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\flask_sqlalchemy\model.py                                          | Python     |         80 |         39 |         36 |        155 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\flask_sqlalchemy\utils.py                                          | Python     |         27 |          9 |         10 |         46 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\__init__.py                                               | Python     |         27 |         26 |         11 |         64 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\greenlet.c                                                | C          |      1,550 |        405 |        181 |      2,136 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\greenlet.h                                                | C++        |         84 |         39 |         24 |        147 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\platform\setup_switch_x64_masm.cmd                        | Batch      |          2 |          0 |          1 |          3 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\platform\switch_aarch64_gcc.h                             | C++        |         32 |         33 |          5 |         70 |
