Date : 2022-03-09 21:12:27
Directory : c:\Users\Tony\Desktop\interimproject
Total : 967 files,  244654 codes, 121715 comments, 55333 blanks, all 421702 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\ext\mypy\plugin.py                                      | Python     |        192 |         35 |         58 |        285 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\ext\mypy\util.py                                        | Python     |        225 |         12 |         63 |        300 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\ext\orderinglist.py                                     | Python     |        109 |        231 |         49 |        389 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\ext\serializer.py                                       | Python     |        103 |         54 |         21 |        178 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\future\__init__.py                                      | Python     |          6 |          9 |          4 |         19 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\future\engine.py                                        | Python     |         76 |        309 |         29 |        414 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\future\orm\__init__.py                                  | Python     |          0 |          9 |          2 |         11 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\inspection.py                                           | Python     |         34 |         47 |         13 |         94 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\log.py                                                  | Python     |         96 |         77 |         53 |        226 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\__init__.py                                         | Python     |        148 |        147 |         44 |        339 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\attributes.py                                       | Python     |      1,417 |        567 |        332 |      2,316 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\base.py                                             | Python     |        265 |        209 |         99 |        573 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\clsregistry.py                                      | Python     |        312 |         53 |         77 |        442 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\collections.py                                      | Python     |        880 |        560 |        267 |      1,707 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\context.py                                          | Python     |      2,122 |        417 |        465 |      3,004 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\decl_api.py                                         | Python     |        276 |        688 |         82 |      1,046 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\decl_base.py                                        | Python     |        835 |        145 |        188 |      1,168 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\dependency.py                                       | Python     |      1,043 |        106 |        142 |      1,291 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\descriptor_props.py                                 | Python     |        398 |        248 |        100 |        746 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\dynamic.py                                          | Python     |        380 |         27 |         82 |        489 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\evaluator.py                                        | Python     |        190 |          6 |         46 |        242 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\events.py                                           | Python     |        479 |      2,202 |        168 |      2,849 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\exc.py                                              | Python     |        102 |         60 |         43 |        205 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\identity.py                                         | Python     |        185 |         23 |         47 |        255 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\instrumentation.py                                  | Python     |        397 |        130 |        124 |        651 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\interfaces.py                                       | Python     |        357 |        464 |        120 |        941 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\loading.py                                          | Python     |      1,045 |        201 |        220 |      1,466 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\mapper.py                                           | Python     |      1,940 |      1,335 |        364 |      3,639 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\path_registry.py                                    | Python     |        328 |         98 |         94 |        520 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\persistence.py                                      | Python     |      1,860 |        215 |        333 |      2,408 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\properties.py                                       | Python     |        228 |        166 |         45 |        439 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\query.py                                            | Python     |      1,200 |      2,018 |        268 |      3,486 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\relationships.py                                    | Python     |      1,970 |      1,418 |        302 |      3,690 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\scoping.py                                          | Python     |        118 |         89 |         22 |        229 |
